country,region,sequence,leading_question_id,leading_question_answer_id,question,question_code,answer,answer_help_text,help_text,data_type,allow_multi_select,domain_id,next_question_id,tax_form_codes,tax_form_code_count,raw_row
US,AL,1,1,1,What type of tax are you registered to collect in Alabama?,,Simplified sellers use tax (flat 8% rate),Some out-of-state businesses can register to collect the simplified sellers use tax rate. Your account number begins with SSU if you are registered to collect this tax.,,STRING,False,1,2,USAL2630,1,"{""LeadingQuestionId"":1,""Country"":""US"",""Region"":""AL"",""Sequence"":1,""Question"":""What type of tax are you registered to collect in Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":1,""Answer"":""Simplified sellers use tax (flat 8% rate)"",""AnswerHelpText"":""Some out-of-state businesses can register to collect the simplified sellers use tax rate. Your account number begins with SSU if you are registered to collect this tax."",""NextQuestionId"":2,""TaxFormCode"":""[\""USAL2630\""]""}"
US,AL,1,1,2,What type of tax are you registered to collect in Alabama?,,Sellers use tax,Businesses that ship products to Alabama from out of state generally collect sellers use tax. Your account numbers begins with SLU if you are registered to collect this tax.,,STRING,False,1,2,USAL2620 | USAL9501,2,"{""LeadingQuestionId"":1,""Country"":""US"",""Region"":""AL"",""Sequence"":1,""Question"":""What type of tax are you registered to collect in Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":2,""Answer"":""Sellers use tax"",""AnswerHelpText"":""Businesses that ship products to Alabama from out of state generally collect sellers use tax. Your account numbers begins with SLU if you are registered to collect this tax."",""NextQuestionId"":2,""TaxFormCode"":""[\""USAL2620\"",\""USAL9501\""]""}"
US,AL,1,1,3,What type of tax are you registered to collect in Alabama?,,Sales tax,Businesses with a physical presence in Alabama must register to collect sales tax. Your account number begins with SLS if you are registered to collect this tax.,,STRING,False,1,2,USAL2100 | USAL9501,2,"{""LeadingQuestionId"":1,""Country"":""US"",""Region"":""AL"",""Sequence"":1,""Question"":""What type of tax are you registered to collect in Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":3,""Answer"":""Sales tax"",""AnswerHelpText"":""Businesses with a physical presence in Alabama must register to collect sales tax. Your account number begins with SLS if you are registered to collect this tax."",""NextQuestionId"":2,""TaxFormCode"":""[\""USAL2100\"",\""USAL9501\""]""}"
US,AL,1,1,4,What type of tax are you registered to collect in Alabama?,,Both sales and sellers use tax,Select this if you have separate registrations for sales tax and sellers use tax.,,STRING,False,1,2,USAL2620 | USAL2100 | USAL9501,3,"{""LeadingQuestionId"":1,""Country"":""US"",""Region"":""AL"",""Sequence"":1,""Question"":""What type of tax are you registered to collect in Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":4,""Answer"":""Both sales and sellers use tax"",""AnswerHelpText"":""Select this if you have separate registrations for sales tax and sellers use tax."",""NextQuestionId"":2,""TaxFormCode"":""[\""USAL2620\"",\""USAL2100\"",\""USAL9501\""]""}"
US,AL,2,2,5,Do you self-assess consumer use tax on purchases that you need to report to Alabama?,,Yes,,,BOOLEAN,False,1,,USALSU2610,1,"{""LeadingQuestionId"":2,""Country"":""US"",""Region"":""AL"",""Sequence"":2,""Question"":""Do you self-assess consumer use tax on purchases that you need to report to Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":5,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USALSU2610\""]""}"
US,AL,2,2,6,Do you self-assess consumer use tax on purchases that you need to report to Alabama?,,No,,,BOOLEAN,False,1,,,0,"{""LeadingQuestionId"":2,""Country"":""US"",""Region"":""AL"",""Sequence"":2,""Question"":""Do you self-assess consumer use tax on purchases that you need to report to Alabama?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":6,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[]""}"
US,AZ,1,4,9,Are you required to make estimated payments in Arizona?,,Yes,,Some Arizona taxpayers are required to make an annual accelerated prepayment in June of each year. Avalara calculates this prepayment using 50% of the preceding May's liability. Visit the Arizona Department of Revenue website or contact the Arizona Department of Revenue at 602-255-3381 for more info about prepayments.,BOOLEAN,False,1,,USAZTPT2 | USAZTPTES,2,"{""LeadingQuestionId"":4,""Country"":""US"",""Region"":""AZ"",""Sequence"":1,""Question"":""Are you required to make estimated payments in Arizona?"",""QuestionCode"":null,""HelpText"":""Some Arizona taxpayers are required to make an annual accelerated prepayment in June of each year. Avalara calculates this prepayment using 50% of the preceding May's liability. Visit the Arizona Department of Revenue website or contact the Arizona Department of Revenue at 602-255-3381 for more info about prepayments."",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":9,""Answer"":""Yes"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USAZTPT2\"",\""USAZTPTES\""]""}"
US,AZ,1,4,10,Are you required to make estimated payments in Arizona?,,No,,Some Arizona taxpayers are required to make an annual accelerated prepayment in June of each year. Avalara calculates this prepayment using 50% of the preceding May's liability. Visit the Arizona Department of Revenue website or contact the Arizona Department of Revenue at 602-255-3381 for more info about prepayments.,BOOLEAN,False,1,,USAZTPT2,1,"{""LeadingQuestionId"":4,""Country"":""US"",""Region"":""AZ"",""Sequence"":1,""Question"":""Are you required to make estimated payments in Arizona?"",""QuestionCode"":null,""HelpText"":""Some Arizona taxpayers are required to make an annual accelerated prepayment in June of each year. Avalara calculates this prepayment using 50% of the preceding May's liability. Visit the Arizona Department of Revenue website or contact the Arizona Department of Revenue at 602-255-3381 for more info about prepayments."",""Standard"":false,""DataType"":""BOOLEAN"",""AllowMultiSelect"":false,""DomainId"":1,""LeadingQuestionAnswerId"":10,""Answer"":""No"",""AnswerHelpText"":"""",""NextQuestionId"":null,""TaxFormCode"":""[\""USAZTPT2\""]""}"
US,CO,1,7,15,Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which types of tax are you registered to collect?,,Sales tax,Most businesses are registered to collect sales tax.,,STRING,True,1,10,USCODR0100CS,1,"{""LeadingQuestionId"":7,""Country"":""US"",""Region"":""CO"",""Sequence"":1,""Question"":""Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich types of tax are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":15,""Answer"":""Sales tax"",""AnswerHelpText"":""Most businesses are registered to collect sales tax."",""NextQuestionId"":10,""TaxFormCode"":""[\""USCODR0100CS\""]""}"
US,CO,1,7,16,Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns. Which types of tax are you registered to collect?,,Retailer’s use tax,Some out-of-state businesses are registered to collect retailer’s use tax on sales shipped to Colorado.,,STRING,True,1,10,USCODR0173,1,"{""LeadingQuestionId"":7,""Country"":""US"",""Region"":""CO"",""Sequence"":1,""Question"":""Colorado has a separate return for each tax type. Some businesses may be registered to collect more than one tax type and file multiple returns.\n\nWhich types of tax are you registered to collect?"",""QuestionCode"":null,""HelpText"":"""",""Standard"":false,""DataType"":""STRING"",""AllowMultiSelect"":true,""DomainId"":1,""LeadingQuestionAnswerId"":16,""Answer"":""Retailer\u2019s use tax"",""AnswerHelpText"":""Some out-of-state businesses are registered to collect retailer\u2019s use tax on sales shipped to Colorado."",""NextQuestionId"":10,""TaxFormCode"":""[\""USCODR0173\""]""}"
